datetime,depth,observation,site_id,variable
2023-05-18T06:00:00Z,0.25,17.9342,splk,temperature
2023-05-18T07:00:00Z,0.25,12.9215,splk,temperature
2023-05-18T08:00:00Z,0.25,12.9319,splk,temperature
2023-05-18T09:00:00Z,0.25,12.8783,splk,temperature
2023-05-18T10:00:00Z,0.25,12.9765,splk,temperature
2023-05-18T11:00:00Z,0.25,12.9805,splk,temperature
2023-05-18T12:00:00Z,0.25,13.3689,splk,temperature
2023-05-18T13:00:00Z,0.25,13.3567,splk,temperature
2023-05-18T15:00:00Z,0.25,13.4165,splk,temperature
2023-05-18T20:00:00Z,0.25,13.4874,splk,temperature
2023-05-18T21:00:00Z,0.25,13.3439,splk,temperature
2023-05-18T22:00:00Z,0.25,13.2596,splk,temperature
2023-05-18T23:00:00Z,0.25,13.1334,splk,temperature
2023-05-19T10:00:00Z,0.25,12.5495,splk,temperature
2023-05-19T11:00:00Z,0.25,12.6167,splk,temperature
2023-05-19T12:00:00Z,0.25,12.5571,splk,temperature
2023-05-19T13:00:00Z,0.25,12.4359,splk,temperature
2023-05-19T14:00:00Z,0.25,12.3223,splk,temperature
2023-05-19T15:00:00Z,0.25,12.2036,splk,temperature
2023-05-19T20:00:00Z,0.25,11.9863,splk,temperature
2023-05-19T21:00:00Z,0.25,11.9576,splk,temperature
2023-05-19T22:00:00Z,0.25,11.8888,splk,temperature
2023-05-19T23:00:00Z,0.25,11.8094,splk,temperature
2023-05-20T04:00:00Z,0.25,12.1593,splk,temperature
2023-05-20T05:00:00Z,0.25,12.2658,splk,temperature
2023-05-20T06:00:00Z,0.25,12.6212,splk,temperature
2023-05-20T07:00:00Z,0.25,12.8952,splk,temperature
2023-05-20T08:00:00Z,0.25,13.2631,splk,temperature
2023-05-20T09:00:00Z,0.25,13.4852,splk,temperature
2023-05-20T10:00:00Z,0.25,13.801,splk,temperature
2023-05-20T11:00:00Z,0.25,13.8081,splk,temperature
2023-05-20T12:00:00Z,0.25,13.6563,splk,temperature
2023-05-20T13:00:00Z,0.25,13.6063,splk,temperature
2023-05-20T14:00:00Z,0.25,13.582,splk,temperature
2023-05-20T15:00:00Z,0.25,13.6633,splk,temperature
2023-05-20T20:00:00Z,0.25,13.1031,splk,temperature
2023-05-20T21:00:00Z,0.25,13.0966,splk,temperature
2023-05-20T22:00:00Z,0.25,13.0025,splk,temperature
2023-05-20T23:00:00Z,0.25,12.9483,splk,temperature
2023-05-21T03:00:00Z,0.25,13.79,splk,temperature
2023-05-21T04:00:00Z,0.25,14.6093,splk,temperature
2023-05-21T05:00:00Z,0.25,14.8959,splk,temperature
2023-05-21T06:00:00Z,0.25,15.447,splk,temperature
2023-05-21T07:00:00Z,0.25,15.7814,splk,temperature
2023-05-21T08:00:00Z,0.25,16.5415,splk,temperature
2023-05-21T09:00:00Z,0.25,16.5504,splk,temperature
2023-05-21T10:00:00Z,0.25,16.1972,splk,temperature
2023-05-21T11:00:00Z,0.25,14.6351,splk,temperature
2023-05-21T12:00:00Z,0.25,15.4844,splk,temperature
2023-05-21T13:00:00Z,0.25,15.7578,splk,temperature
2023-05-21T14:00:00Z,0.25,15.8344,splk,temperature
2023-05-21T15:00:00Z,0.25,15.9954,splk,temperature
